id,商品编码,商品名称,品牌名称,规格,单位,生产厂家,批准文号,库存数量,疾病分类统一,商品类别,医保类型,工业采购价,客户采购价格,建议零售价,工业毛利额,客户毛利额,客户毛利率,上架日期,最后一次采购日期
52a54f93-13c9-430b-9e39-7a35de3d388f,6970878583019671591,鑫玺****罗汉果糖,蜀汉本草,2.5g*16片,盒,鑫玺****有限公司,国食健注G20150362,0,保健食品,预包装保健食品,非医保,2.3,3.69,12.8,1.39,9.11,0.71171875,2021-10-09,2023-12-11
643eb938-3b79-4ce3-911e-e355b31f6bbb,6970878583019671976,金银****含片,蜀汉本草,2.5g*16片,盒,鑫玺****有限公司,国食健注G20140205,22601,保健食品,预包装保健食品,非医保,2.3,3.69,12.0,1.39,8.31,0.6925,2021-10-09,2024-01-10
9acdbede-591a-4c80-a747-88bbf05f9603,6970878583023866125,鑫玺****胖大海糖,蜀汉本草,2.5g*16片,盒,鑫玺****有限公司,国食健注G20150594,20828,保健食品,预包装保健食品,非医保,2.3,3.69,12.8,1.39,9.11,0.71171875,2021-10-09,2024-01-10
01594be9-688b-4f86-a191-99a0da27cae1,6970878583019671697,麦金****益生菌粉,好医生,1.5g/袋*10袋,盒,深圳****公司生产,国食健字G20160147,0,保健食品,预包装保健食品,非医保,0.01,12.8,58.0,12.79,45.2,0.7793103448275862,2022-03-07,2022-02-22
afba7b5b-a32d-487e-8b8b-8d5136fb5078,6970878583019672109,麦金****益生菌粉,好医生,1.5g/袋*20袋,盒,深圳****公司生产,国食健字G20160147,0,保健食品,预包装保健食品,非医保,22.0,21.9,98.0,-0.1,76.1,0.7765306122448979,2022-03-07,2022-08-26
c0a3f675-067a-4f91-a42d-f6f5f20bf890,6970878582294057844,维尔****E软胶囊,驰铭,0.25g*160粒/瓶,瓶,洛阳****有限公司,食健备G202041000877,0,保健食品,预包装保健食品,非医保,14.8104,29.9,98.0,15.0896,68.1,0.6948979591836734,2022-03-14,2022-03-02
a62a4063-4775-4259-923e-73691171bb29,6970878582294057549,Sp****素蛋白粉,驰铭,15g*20袋,罐,鑫玺****有限公司,国食健注G20160064,0,保健食品,预包装保健食品,非医保,23.0,39.0,138.0,16.0,99.0,0.717391304347826,2022-03-21,2023-06-30
412266c1-c442-438a-818f-18cf4d928d36,6970878583757869218,生命****D软胶囊,驰铭,1.0g*60粒,盒,开封****有限公司,食健备G201941000313,0,保健食品,预包装保健食品,非医保,5.202,9.99,58.0,4.788,48.01,0.8277586206896551,2022-08-16,2022-10-20
42b70343-be8b-46eb-9684-e21b9b5d0680,6970878583019671618,百维****柠檬味）,驰铭,0.8g*50片,盒,安徽****有限公司,食健备G202034001065,24,保健食品,预包装保健食品,非医保,2.4072,3.79,9.0,1.3828,5.21,0.5788888888888889,2022-08-16,2023-03-22
63f0fa70-cd40-40de-8436-5bd0cce66965,6970878582294057777,百维****樱桃味）,驰铭,0.5g*90片,盒,安徽****有限公司,食健备G201934002104,137317,保健食品,预包装保健食品,非医保,5.406,8.49,29.8,3.084,21.31,0.7151006711409396,2022-08-16,2023-03-22
5eacd3ca-4987-4b59-9984-94d95aa654b8,6970878583019671756,百维****维生素片,驰铭,0.5g*90片,盒,安徽****有限公司,食健备G201934002103,14220,保健食品,预包装保健食品,非医保,6.25,9.99,29.8,3.74,19.81,0.6647651006711409,2022-08-17,2023-12-26
48138572-fc38-44c6-95f8-1aba81cd8555,6970878583757869304,氨基****胶囊,驰铭,350mg*120粒/瓶,盒,广州****有限公司,国食健字G20160165,2690,保健食品,预包装保健食品,非医保,13.35,21.29,88.0,7.94,66.71,0.7580681818181817,2022-09-13,2023-10-20
60405545-3672-4e81-b109-b4921809cc0c,6970878583757869280,益天****油软胶囊,驰铭,360mg*100粒/瓶,盒,山东****有限公司,国食健注G20140822,0,保健食品,预包装保健食品,非医保,9.384,14.89,88.0,5.506,73.11,0.8307954545454546,2022-09-13,2023-03-31
ae583b4e-c5c6-4d32-b9e3-9cc6284c396a,6970878583757869259,益天****A软胶囊,驰铭,500mg*30粒/瓶,盒,广州****有限公司,国食健注G20140317,7165,保健食品,预包装保健食品,非医保,8.78,14.19,88.0,5.41,73.81,0.83875,2022-09-13,2023-11-30
7992e6c0-8763-4366-824d-6fabf9878d2e,6970878583757869325,百维****D咀嚼片,驰铭,1.2g*60片,盒,安徽****有限公司,食健备G201934002111,2419,保健食品,预包装保健食品,非医保,4.3,9.99,58.0,5.69,48.01,0.8277586206896551,2022-09-17,2023-12-26
1c4aa551-4706-4207-915c-9f738cf696b8,6970878583757869355,澳新****骨素钙片,驰铭,1.0g/片*100片,盒,江苏****有限公司,国食健注G20190216,7024,保健食品,预包装保健食品,非医保,16.8,39.99,188.0,23.19,148.01,0.7872872340425532,2022-09-19,2024-01-16
a142e5a4-21a4-4ce5-8d3b-cb464c3d2360,6970878583757869401,麦金****益生菌粉,驰铭,1.5g/袋*22袋,盒,深圳****有限公司,国食健注G20160147,847,保健食品,预包装保健食品,非医保,15.4,27.98,128.0,12.58,100.02,0.78140625,2022-10-05,2023-11-13
cb77df86-9814-43f1-be0a-f97914dc4aad,6987679987700727808,博客****黑素胶囊,驰铭,0.25g*60粒,盒,杭州****有限公司,国食健注G20190116,10074,保健食品,预包装保健食品,非医保,4.86,9.99,48.0,5.13,38.01,0.791875,2022-10-18,2023-11-23
c2a96557-9ea7-4660-b61e-eb3d2ce958e7,6998111046280151040,潍至****香橙味）,驰铭,4.0g/片*20片,瓶,武汉****有限公司,食健备G202042001012,10533,保健食品,预包装保健食品,非医保,4.488,7.09,25.0,2.602,17.91,0.7164,2022-11-15,2024-01-17
